Iteration,act_diff,l_inf,l2
0,44,0.630366945,1.076567333
1000,44,0.614439174,0.90832897
2000,42,0.614439174,0.90542134
3000,22,0.614439174,0.83203661
4000,22,0.514439174,0.724620678
5000,16,0.514439174,0.643260596
6000,18,0.344249174,0.522292079
7000,19,0.344249174,0.488292279
8000,18,0.373699884,0.543057174
9000,18,0.373699884,0.536248283
10000,18,0.363044561,0.463473897
